#     Row        sigBg  FirstLaye  LastLayer      NHits  AverageZP     Thrust  PID_Angle  PID_Front  PID_LLR_M  FirstLaye  LastLayer  NHits_Low  AverageZP  Thrust_Lo  PID_Angle  PID_Front  PID_LLR_M  Energy_As  Angle_Bet  Distance_ 
# 
0.000000000000000000e+00 -9.990000000000000000e+02 9.000000000000000000e+00 3.000000000000000000e+01 2.600000000000000000e+01 6.113846399999999903e+02 9.944503999999999566e-01 4.988891600000000182e+01 6.796119999999999939e-02 3.468788899999999842e+01 2.000000000000000000e+00 3.100000000000000000e+01 1.400000000000000000e+01 5.760000000000000000e+02 9.693446999999999480e-01 4.988891600000000182e+01 6.796119999999999939e-02 1.391005400000000058e+00 7.555275000000000185e-01 1.711309699999999934e+00 6.794453300000000127e+02
1.000000000000000000e+00 -9.990000000000000000e+02 1.800000000000000000e+01 3.400000000000000000e+01 3.400000000000000000e+01 3.145794100000000071e+03 7.252669000000000477e-01 7.232182299999999486e+01 2.194609999999999894e-01 2.202683400000000091e+01 3.000000000000000000e+00 2.400000000000000000e+01 1.100000000000000000e+01 2.097818099999999959e+03 9.517080999999999458e-01 7.232182299999999486e+01 2.194609999999999894e-01 2.507862400000000136e+01 8.936825000000000463e-01 7.463676999999999673e-01 2.625062500000000000e+03
2.000000000000000000e+00 -9.990000000000000000e+02 2.000000000000000000e+00 2.300000000000000000e+01 2.600000000000000000e+01 2.269076900000000023e+03 9.235655999999999866e-01 5.708678400000000153e+01 3.656883000000000217e-01 1.223663200000000018e+01 1.700000000000000000e+01 3.400000000000000000e+01 1.300000000000000000e+01 3.193046100000000024e+03 9.659925000000000317e-01 5.708678400000000153e+01 3.656883000000000217e-01 3.592934400000000039e+01 5.385136000000000367e-01 5.196585999999999705e-01 8.349239599999999655e+02
3.000000000000000000e+00 -9.990000000000000000e+02 1.100000000000000000e+01 3.100000000000000000e+01 2.600000000000000000e+01 1.567538399999999911e+03 9.529687999999999493e-01 3.330324499999999688e+01 5.257901099999999772e+00 2.756377600000000072e+01 1.100000000000000000e+01 2.400000000000000000e+01 1.300000000000000000e+01 1.488307700000000068e+03 9.919843000000000410e-01 3.330324499999999688e+01 5.257901099999999772e+00 2.720632499999999965e+01 4.648835000000000051e-01 2.770183600000000190e+00 3.193446800000000167e+03
4.000000000000000000e+00 -9.990000000000000000e+02 5.000000000000000000e+00 2.700000000000000000e+01 2.700000000000000000e+01 3.031288799999999810e+03 9.753998999999999864e-01 4.373181100000000043e+01 2.607599999999999849e-02 1.404387499999999989e+01 2.000000000000000000e+00 3.200000000000000000e+01 2.200000000000000000e+01 3.003127199999999903e+03 9.434787000000000035e-01 4.373181100000000043e+01 2.607599999999999849e-02 4.409214000000000055e+01 1.922470000000000012e-01 2.207902999999999949e-01 1.389433600000000069e+03
5.000000000000000000e+00 -9.990000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+01 1.200000000000000000e+01 2.916375000000000000e+03 9.849830000000000529e-01 7.354831699999999728e+01 1.859567100000000028e+00 -8.654901999999999873e+00 1.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 1.668000000000000000e+03 6.751694000000000306e-01 7.354831699999999728e+01 1.859567100000000028e+00 -8.249836999999999421e+00 5.942996999999999863e-01 1.288813299999999940e+00 1.044356800000000021e+03
6.000000000000000000e+00 1.000000000000000000e+01 3.000000000000000000e+00 2.300000000000000000e+01 2.500000000000000000e+01 1.700799999999999955e+03 9.892581000000000291e-01 6.169819600000000293e+01 2.231358999999999981e-01 1.785236899999999949e+01 2.000000000000000000e+00 2.200000000000000000e+01 1.300000000000000000e+01 2.961238499999999931e+03 9.144368999999999970e-01 6.169819600000000293e+01 2.231358999999999981e-01 2.528168600000000055e+01 5.936679999999999735e-01 1.267251099999999964e+00 2.157595600000000104e+03
7.000000000000000000e+00 -9.990000000000000000e+02 2.000000000000000000e+00 2.400000000000000000e+01 3.400000000000000000e+01 3.016282400000000052e+03 8.843098999999999821e-01 6.463611600000000124e+01 2.670155300000000054e+01 2.919344900000000109e+01 6.000000000000000000e+00 1.100000000000000000e+01 6.000000000000000000e+00 2.952250000000000000e+03 9.829586000000000157e-01 6.463611600000000124e+01 2.670155300000000054e+01 -1.637103000000000108e+01 8.946271999999999558e-01 1.445845400000000058e+00 5.805859900000000380e+02
8.000000000000000000e+00 -9.990000000000000000e+02 2.700000000000000000e+01 3.400000000000000000e+01 1.300000000000000000e+01 3.223322999999999865e+03 8.930137999999999687e-01 5.997816399999999959e+01 3.058705799999999808e+00 3.308107300000000350e+01 1.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 9.388571100000000342e+02 9.561435999999999824e-01 5.997816399999999959e+01 3.058705799999999808e+00 4.389140099999999656e+00 4.916306999999999761e-01 2.285677100000000017e+00 3.218757999999999811e+03
9.000000000000000000e+00 -9.990000000000000000e+02 7.000000000000000000e+00 3.400000000000000000e+01 5.000000000000000000e+01 3.107967999999999847e+03 9.546175999999999551e-01 2.645559499999999886e+01 4.488419999999999632e+00 3.854003900000000016e+01 1.200000000000000000e+01 1.800000000000000000e+01 5.000000000000000000e+00 1.568000000000000000e+03 9.829297000000000173e-01 2.645559499999999886e+01 4.488419999999999632e+00 1.920904200000000062e+00 9.510427999999999660e-01 1.583888500000000032e+00 7.751579199999999901e+02
