#  FirstLayer_H  LastLayer_H NHits_H  AverageZP_H Thrust_H  PID_Angle_H  PID_Front_H  PID_LLR_M_H  FirstLayer_L  LastLayer_L  NHits_L  AverageZP_L  Thrust_L  PID_Angle_L  PID_Front_L  PID_LLR_M_L  Energy_As  Angle_Bet  Distance_Bet   Sig   Bg
8.298475383755379506e-03 2.766158461251793169e-02 2.397337333084887182e-02 5.637289316717938314e-01 9.169357960850766731e-04 4.600021570535998972e-02 6.266381613894178072e-05 3.198406588677099593e-02 1.844105640834528635e-03 2.858363743293519318e-02 1.290873948584170088e-02 5.311024245603442884e-01 8.937870145915269337e-04 4.600021570535998972e-02 6.266381613894178072e-05 1.282580452285645095e-03 6.966362622778046612e-04 1.577917935492422537e-03 6.264844828458389081e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.909098100056119379e-03 7.383851966772670035e-03 7.383851966772670035e-03 6.831787633043194807e-01 1.575077478235328702e-04 1.570628338232749749e-02 4.766080989646755264e-05 4.783614163313974592e-03 6.515163500093531937e-04 5.212130800074825550e-03 2.388893283367628413e-03 4.555875971651854317e-01 2.066844625287788425e-04 1.570628338232749749e-02 4.766080989646755264e-05 5.446377857245656047e-03 1.940829201557446116e-04 1.620902532229586486e-04 5.700903795154759202e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.991873688137373659e-04 5.740654741357979762e-03 6.489435794578586082e-03 5.663472636735159549e-01 2.305161408954403343e-04 1.424850074949908160e-02 9.127349014148433009e-05 3.054186065610990566e-03 4.243092634916767990e-03 8.486185269833535980e-03 3.244717897289293041e-03 7.969641405799828826e-01 2.411056271844021269e-04 1.424850074949908160e-02 9.127349014148433009e-05 8.967737347281821286e-03 1.344095935272067324e-04 1.297035046077152061e-04 2.083917473759730465e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.851928997931909085e-03 8.037254448717197700e-03 6.740923086020876413e-03 4.064098380301625624e-01 2.470726686222157894e-04 8.634408194611895709e-03 1.363196419577098438e-03 7.146357460627236757e-03 2.851928997931909085e-03 6.222390540942346858e-03 3.370461543010438207e-03 3.858679897704858641e-01 2.571880718784714821e-04 8.634408194611895709e-03 1.363196419577098438e-03 7.053682472241804176e-03 1.205286122100071583e-04 7.182151762214008823e-04 8.279530483884420811e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.113948452265282321e-03 6.015321642232524663e-03 6.015321642232524663e-03 6.753398934258170172e-01 2.173090417889422365e-04 9.742996635641569189e-03 5.809463968253900432e-06 3.128830564011418278e-03 4.455793809061129500e-04 7.129270094497807200e-03 4.901373189967242125e-03 6.690657792791542269e-01 2.101973275220521430e-04 9.742996635641569189e-03 5.809463968253900432e-06 9.823274222012829890e-03 4.283064962052874459e-05 4.918980259203747322e-05 3.095514816490759213e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.841024278316723229e-04 2.841024278316723120e-03 3.409229133980068091e-03 8.285492179675933988e-01 2.798360616729241414e-04 2.089525542263345748e-02 5.283075278259022301e-04 -2.458878670845196512e-03 2.841024278316723229e-04 5.682048556633446457e-04 1.420512139158361560e-03 4.738828496232294629e-01 1.918172657376535041e-04 2.089525542263345748e-02 5.283075278259022301e-04 -2.343798720915560123e-03 1.688419876296345197e-04 3.661549875517494603e-04 2.967043024025162734e-01 0.000000000000000000e+00 1.000000000000000000e+00
7.424453554066612381e-04 5.692081058117736195e-03 6.187044628388843615e-03 4.209170201585497595e-01 2.448233605478061532e-04 1.526917968572328102e-02 5.522207085982840211e-05 4.418136149018619951e-03 4.949635702711075282e-04 5.444599272982182485e-03 3.217263206762198662e-03 7.328525901921294494e-01 2.263064764058218402e-04 1.526917968572328102e-02 5.522207085982840211e-05 6.256756782516537281e-03 1.469220164178539068e-04 3.136215644429941191e-04 5.339656106886161435e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.692760297531318949e-04 5.631312357037582955e-03 7.977692505803242809e-03 7.077345146431239797e-01 2.074927194716945269e-04 1.516608994757144210e-02 6.265199390041414039e-03 6.849892920760269031e-03 1.407828089259395739e-03 2.581018163642225232e-03 1.407828089259395739e-03 6.927100794193418176e-01 2.306394546098484218e-04 1.516608994757144210e-02 6.265199390041414039e-03 -3.841265980684707444e-03 2.099135502625805309e-04 3.392502944744144500e-04 1.362275441587457725e-01 0.000000000000000000e+00 1.000000000000000000e+00
5.803818894901786006e-03 7.308512682468915229e-03 2.794431319767526692e-03 6.928734419174632508e-01 1.919589024388164585e-04 1.289268153721177985e-02 6.574879450365067341e-04 7.110983575593530712e-03 2.149562553667328120e-04 8.598250214669312481e-04 1.504693787567129657e-03 2.018132086900327749e-01 2.055290478488672331e-04 1.289268153721177985e-02 6.574879450365067341e-04 9.434731201759670623e-04 1.056790942953256057e-04 4.913205903934932681e-04 6.918921666117141545e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.962232763147330004e-03 9.530844849572745608e-03 1.401594830819521444e-02 8.712223766304971750e-01 2.675974187138675125e-04 7.416005039650955082e-03 1.258189254109391133e-03 1.080350388839655153e-02 3.363827593966851187e-03 5.045741390950276781e-03 1.401594830819521400e-03 4.395401389450019347e-01 2.755338373157965653e-04 7.416005039650955082e-03 1.258189254109391133e-03 5.384658794439016157e-04 2.665953344736247997e-04 4.439939868388971143e-04 2.172914667481624096e-01 0.000000000000000000e+00 1.000000000000000000e+00
